1	ensembl	gene	5891848	5928789	.	-	.	ID=gene:ENSTGUG00000006274;biotype=protein_coding;gene_id=ENSTGUG00000006274;logic_name=ensembl;version=1	1	5893182	5893233	3	MTH1,FCH3	MTH2	0.07894736842105263	0.07894736842105263	0.26	0.1331168831168831	0.00946372239747634	0.0
1	ensembl	gene	5891848	5928789	.	-	.	ID=gene:ENSTGUG00000006274;biotype=protein_coding;gene_id=ENSTGUG00000006274;logic_name=ensembl;version=1	1	5924411	5924914	5	MTH1,MTH2		0.03832752613240418	0.06532663316582915	0.025	0.06082614616432138	0.020068156001514577	0.0255885363357216
1	ensembl	gene	7979080	8002069	.	-	.	ID=gene:ENSTGUG00000006788;biotype=protein_coding;description=cytochrome b-245 heavy chain [Source:NCBI gene%3BAcc:100225149];gene_id=ENSTGUG00000006788;logic_name=ensembl;version=1	1	7987850	7988039	3	MTH3	MTH2	0.04057971014492753	0.013513513513513514	0.014084507042253521	0.04707792207792208	0.006679389312977099	0.04017857142857143
1	ensembl	gene	17698218	17722103	.	+	.	ID=gene:ENSTGUG00000008162;Name=GEMIN8;biotype=protein_coding;description=gem nuclear organelle associated protein 8 [Source:HGNC Symbol%3BAcc:HGNC:26044];gene_id=ENSTGUG00000008162;logic_name=ensembl;version=1	1	17702794	17703014	3	MTH1	MTH2	0.037037037037037035	0.014634146341463415	0.04040404040404041	0.08548931383577053	0.019088016967126194	0.05752212389380531
1	ensembl	gene	41204032	41234721	.	-	.	ID=gene:ENSTGUG00000011161;biotype=protein_coding;description=DnaJ heat shock protein family (Hsp40) member C3 [Source:NCBI gene%3BAcc:100221840];gene_id=ENSTGUG00000011161;logic_name=ensembl;version=1	1	41234547	41234938	3	MTH2,FCH3,MTH3		0.014084507042253521	0.04009433962264151	0.04428904428904429	0.011217948717948718	0.018150879183210438	0.031598513011152414
1	ensembl	gene	46051787	46118595	.	+	.	ID=gene:ENSTGUG00000011309;biotype=protein_coding;gene_id=ENSTGUG00000011309;logic_name=ensembl;version=1	1	46097212	46097463	3	MTH2,FCH3		0.015873015873015872	0.013725490196078431	0.038356164383561646	0.012956419316843345	0.03488372093023256	0.01718213058419244
1	ensembl	gene	46318246	46365165	.	+	.	ID=gene:ENSTGUG00000011321;biotype=protein_coding;description=intraflagellar transport 88 [Source:NCBI gene%3BAcc:100229127];gene_id=ENSTGUG00000011321;logic_name=ensembl;version=1	1	46342912	46343078	3	MTH1,FCH3	MTH2	0.05649717514124294	0.02702702702702703	0.1005586592178771	0.08812949640287769	0.01937984496124031	0.022099447513812154
1	ensembl	gene	53959313	54014838	.	+	.	ID=gene:ENSTGUG00000011974;biotype=protein_coding;gene_id=ENSTGUG00000011974;logic_name=ensembl;version=1	1	53964635	53964894	3	FCH2	MTH2	0.09268292682926829	0.15202702702702703	0.05813953488372093	0.09130434782608696	0.029045643153526972	0.0498220640569395
1	ensembl	gene	102853049	102890999	.	+	.	ID=gene:ENSTGUG00000013515;Name=PTGFRN;biotype=protein_coding;description=prostaglandin F2 receptor inhibitor [Source:HGNC Symbol%3BAcc:HGNC:9601];gene_id=ENSTGUG00000013515;logic_name=ensembl;version=1	1	102853769	102853963	3	MTH1,FCH3	MTH2	0.04424778761061947	0.007407407407407408	0.06097560975609756	0.07815275310834814	0.0031007751937984496	0.02262443438914027
1	ensembl	gene	108737974	108776617	.	-	.	ID=gene:ENSTGUG00000013543;Name=SAMSN1;biotype=protein_coding;description=SAM domain%2C SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol%3BAcc:HGNC:10528];gene_id=ENSTGUG00000013543;logic_name=ensembl;version=1	1	108757959	108758231	3	MTH2,MTH1		0.014577259475218658	0.026022304832713755	0.033582089552238806	0.10698198198198199	0.02710843373493976	0.05825242718446602
10	ensembl	gene	13917452	14049540	.	-	.	ID=gene:ENSTGUG00000008390;Name=AGBL1;biotype=protein_coding;description=ATP/GTP binding protein like 1 [Source:HGNC Symbol%3BAcc:HGNC:26504];gene_id=ENSTGUG00000008390;logic_name=ensembl;version=1	10	13990939	13991061	3	MTH2		0.039735099337748346	0.02564102564102564	0.0051813471502590676	0.054404145077720206	0.07407407407407407	0.05555555555555555
10	ensembl	gene	14795750	14832383	.	+	.	ID=gene:ENSTGUG00000008518;Name=ST8SIA2;biotype=protein_coding;description=ST8 alpha-N-acetyl-neuraminide alpha-2%2C8-sialyltransferase 2 [Source:HGNC Symbol%3BAcc:HGNC:10870];gene_id=ENSTGUG00000008518;logic_name=ensembl;version=1	10	14803423	14803812	3	FCH2,MTH1	MTH2	0.02546296296296296	0.05263157894736842	0.017013232514177693	0.05747126436781609	0.026515151515151516	0.026570048309178744
10	ensembl	gene	14931262	14989769	.	+	.	ID=gene:ENSTGUG00000008540;biotype=protein_coding;gene_id=ENSTGUG00000008540;logic_name=ensembl;version=1	10	14962132	14962440	3	MTH2		0.007017543859649123	0.01615798922800718	0.0108499095840868	0.024848891873740765	0.022481265611990008	0.009111617312072893
