N_unmapped	4166368	4166368	4166368
N_multimapping	2438982	2438982	2438982
N_noFeature	13990777	25421448	14172262
N_ambiguous	88193	4340	33107
ENSTGUG00000000041	60	0	60
ENSTGUG00000000042	712	1	815
ENSTGUG00000000045	0	104	0
ENSTGUG00000000046	1951	13	1938
ENSTGUG00000000052	0	0	0
ENSTGUG00000000054	0	0	0
ENSTGUG00000000055	1530	8	1522
ENSTGUG00000000066	510	2	508
ENSTGUG00000000073	55	0	55
ENSTGUG00000000081	97	0	155
ENSTGUG00000018208	0	0	0
ENSTGUG00000000087	1	0	1
ENSTGUG00000017779	0	0	0
ENSTGUG00000017666	0	0	0
ENSTGUG00000017795	0	0	0
ENSTGUG00000017727	0	0	0
ENSTGUG00000018467	0	0	0
ENSTGUG00000018215	0	0	0
ENSTGUG00000018405	0	0	0
ENSTGUG00000000090	88	0	88
ENSTGUG00000000093	230	287	1
ENSTGUG00000000094	17	0	17
ENSTGUG00000000097	64	0	64
ENSTGUG00000000106	294	1	293
ENSTGUG00000000108	191	1	190
ENSTGUG00000000109	202	2	200
ENSTGUG00000000110	298	6	292
ENSTGUG00000000111	184	184	0
ENSTGUG00000000112	1696	11	1685
ENSTGUG00000000119	675	11	664
ENSTGUG00000000144	295	2	293
ENSTGUG00000000149	46	0	46
ENSTGUG00000000150	915	1	914
ENSTGUG00000000157	15	0	15
ENSTGUG00000000164	1103	6	1097
ENSTGUG00000000173	12	0	12
ENSTGUG00000000174	157	5	152
ENSTGUG00000000185	0	0	0
ENSTGUG00000000186	60	0	60
ENSTGUG00000000188	5	1	4
ENSTGUG00000017669	0	0	0
ENSTGUG00000000207	0	0	0
ENSTGUG00000000210	3	1	2
ENSTGUG00000000211	589	4	585
ENSTGUG00000000219	102	26	76
ENSTGUG00000000221	405	0	405
ENSTGUG00000000222	0	0	0
ENSTGUG00000000223	2	2	0
ENSTGUG00000000225	1	0	1
ENSTGUG00000000229	3	3	0
ENSTGUG00000000233	2112	5	2107
ENSTGUG00000000236	398	3	395
ENSTGUG00000000246	147	1	146
ENSTGUG00000000247	61	5	56
ENSTGUG00000000248	0	0	0
ENSTGUG00000000249	4	0	4
ENSTGUG00000000253	1	0	1
ENSTGUG00000000254	0	0	0
ENSTGUG00000000256	0	0	0
ENSTGUG00000000258	958	4	954
ENSTGUG00000000260	83	1	82
ENSTGUG00000000261	113	1	112
ENSTGUG00000000266	34	0	34
ENSTGUG00000000271	28	0	28
ENSTGUG00000000272	778	2	776
ENSTGUG00000000276	868	4	864
ENSTGUG00000000282	11	0	11
ENSTGUG00000000283	85	0	85
ENSTGUG00000000285	34	0	34
