N_unmapped	4343106	4343106	4343106
N_multimapping	2095967	2095967	2095967
N_noFeature	13120720	22578655	13305884
N_ambiguous	86618	5587	36518
ENSTGUG00000000041	32	1	31
ENSTGUG00000000042	635	4	741
ENSTGUG00000000045	0	110	0
ENSTGUG00000000046	1608	17	1591
ENSTGUG00000000052	0	0	0
ENSTGUG00000000054	1	0	1
ENSTGUG00000000055	2097	10	2087
ENSTGUG00000000066	457	3	454
ENSTGUG00000000073	102	1	101
ENSTGUG00000000081	116	0	167
ENSTGUG00000018208	0	0	0
ENSTGUG00000000087	1	0	1
ENSTGUG00000017779	0	0	0
ENSTGUG00000017666	0	0	0
ENSTGUG00000017795	0	0	0
ENSTGUG00000017727	0	0	0
ENSTGUG00000018467	0	0	0
ENSTGUG00000018215	0	0	0
ENSTGUG00000018405	0	0	0
ENSTGUG00000000090	62	2	60
ENSTGUG00000000093	200	250	1
ENSTGUG00000000094	8	0	8
ENSTGUG00000000097	38	2	36
ENSTGUG00000000106	185	1	184
ENSTGUG00000000108	163	2	161
ENSTGUG00000000109	176	0	176
ENSTGUG00000000110	296	5	291
ENSTGUG00000000111	235	232	3
ENSTGUG00000000112	1907	14	1893
ENSTGUG00000000119	604	15	589
ENSTGUG00000000144	281	0	281
ENSTGUG00000000149	35	0	35
ENSTGUG00000000150	757	3	754
ENSTGUG00000000157	17	4	13
ENSTGUG00000000164	1417	22	1395
ENSTGUG00000000173	25	1	24
ENSTGUG00000000174	253	3	250
ENSTGUG00000000185	0	0	0
ENSTGUG00000000186	77	1	76
ENSTGUG00000000188	12	1	11
ENSTGUG00000017669	0	0	0
ENSTGUG00000000207	0	0	0
ENSTGUG00000000210	11	4	7
ENSTGUG00000000211	366	3	363
ENSTGUG00000000219	111	21	90
ENSTGUG00000000221	419	0	419
ENSTGUG00000000222	1	0	1
ENSTGUG00000000223	2	2	0
ENSTGUG00000000225	18	0	18
ENSTGUG00000000229	3	2	1
ENSTGUG00000000233	1987	9	1978
ENSTGUG00000000236	341	0	341
ENSTGUG00000000246	61	2	59
ENSTGUG00000000247	40	3	37
ENSTGUG00000000248	1	0	1
ENSTGUG00000000249	5	0	5
ENSTGUG00000000253	0	0	0
ENSTGUG00000000254	0	0	0
ENSTGUG00000000256	0	0	0
ENSTGUG00000000258	710	2	708
ENSTGUG00000000260	15	0	15
ENSTGUG00000000261	63	0	63
ENSTGUG00000000266	4	0	4
ENSTGUG00000000271	29	0	29
ENSTGUG00000000272	981	7	974
ENSTGUG00000000276	772	6	766
ENSTGUG00000000282	18	0	18
ENSTGUG00000000283	67	0	67
ENSTGUG00000000285	21	0	21
ENSTGUG00000017808	2	0	2
ENSTGUG00000018195	0	0	0
ENSTGUG00000018037	0	0	0
ENSTGUG00000000290	5	0	5
ENSTGUG00000000306	513	0	513
ENSTGUG00000000332	1	0	1
ENSTGUG00000000342	322	4	318
